plant_id,region,pathway,capacity_mt_yr,online_year,capex_usd_per_mt,opex_usd_per_mt,feedstock_intensity_str
APAC_ATJ_01,APAC,ATJ,0.076,2026,4350,1175,agricultural_residue:4.55
APAC_ATJ_02,APAC,ATJ,0.172,2027,4350,1175,agricultural_residue:4.55
APAC_ATJ_03,APAC,ATJ,0.077,2027,4350,1175,agricultural_residue:4.55
APAC_ATJ_04,APAC,ATJ,0.088,2027,4350,1175,agricultural_residue:4.55
APAC_COPS_01,APAC,Co-processing,0.045264,2020,1375,650,UCO:2.22
APAC_COPS_02,APAC,Co-processing,0.067895,2021,1375,650,UCO:2.22
APAC_COPS_03,APAC,Co-processing,0.15,2024,1375,650,UCO:2.22
APAC_COPS_04,APAC,Co-processing,0.08,2024,1375,650,UCO:2.22
APAC_COPS_05,APAC,Co-processing,0.021778,2025,1375,650,UCO:2.22
APAC_COPS_06,APAC,Co-processing,0.15,2024,1375,650,UCO:2.22
APAC_COPS_07,APAC,Co-processing,0.127105,2026,1375,650,UCO:2.22
APAC_FT_01,APAC,FT-MSW,4.4e-05,2024,6000,1400,MSW:6.67
APAC_HEFA_01,APAC,HEFA,1.0,2010,3250,975,UCO:1.25
APAC_HEFA_02,APAC,HEFA,0.125,2018,3250,975,UCO:1.25
APAC_HEFA_03,APAC,HEFA,0.1,2022,3250,975,UCO:1.25
APAC_HEFA_04,APAC,HEFA,0.2,2022,3250,975,UCO:1.25
APAC_HEFA_05,APAC,HEFA,0.015,2022,3250,975,UCO:1.25
APAC_HEFA_06,APAC,HEFA,0.06825,2022,3250,975,UCO:1.25
APAC_HEFA_07,APAC,HEFA,0.025,2023,3250,975,UCO:1.25
APAC_HEFA_08,APAC,HEFA,9.5e-05,2023,3250,975,UCO:1.25
APAC_HEFA_09,APAC,HEFA,0.5,2024,3250,975,UCO:1.25
APAC_HEFA_10,APAC,HEFA,0.25,2024,3250,975,UCO:1.25
APAC_HEFA_11,APAC,HEFA,0.5,2025,3250,975,UCO:1.25
