route_id,airline_id,operator_name,segment,origin_airport,origin_country,origin_region,dest_airport,dest_country,dest_region,flight_type,aircraft_type,annual_flights_2025,distance_km,annual_growth_rate,saf_pct_2025,saf_pct_2030,saf_pct_2035,saf_pct_2040,saf_pct_2045,saf_pct_2050
R001,LH,Lufthansa,Passenger,FRA,Germany,EU,JFK,USA,US,international,A350-900,730,6200.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R002,LH,Lufthansa,Passenger,FRA,Germany,EU,PEK,China,APAC,international,A350-900,365,9200.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R003,LH,Lufthansa,Passenger,FRA,Germany,EU,DXB,UAE,MENA,international,B787-9,730,5100.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R004,LH,Lufthansa,Passenger,FRA,Germany,EU,SIN,Singapore,APAC,international,A350-900,365,10600.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R005,AF,Air France,Passenger,CDG,France,EU,JFK,USA,US,international,B787-9,730,5830.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R006,AF,Air France,Passenger,CDG,France,EU,NRT,Japan,APAC,international,B777-300ER,365,9730.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R007,BA,British Airways,Passenger,LHR,UK,EU,JFK,USA,US,international,B777-300ER,1460,5555.0,0.025,0.02,0.1,0.15,0.3,0.4,0.5
R008,BA,British Airways,Passenger,LHR,UK,EU,DXB,UAE,MENA,international,B777-300ER,1460,5490.0,0.025,0.02,0.1,0.15,0.3,0.4,0.5
R009,BA,British Airways,Passenger,LHR,UK,EU,HKG,Hong Kong,APAC,international,B777-300ER,730,9630.0,0.025,0.02,0.1,0.15,0.3,0.4,0.5
R010,BA,British Airways,Passenger,LHR,UK,EU,SYD,Australia,APAC,international,B787-9,365,16990.0,0.025,0.02,0.1,0.15,0.3,0.4,0.5
R011,KL,KLM,Passenger,AMS,Netherlands,EU,GRU,Brazil,LATAM,international,B787-9,365,9980.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R012,IB,Iberia,Passenger,MAD,Spain,EU,GRU,Brazil,LATAM,international,A350-900,730,10000.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R013,LH,Lufthansa,Passenger,FRA,Germany,EU,CDG,France,EU,international,A320neo,3650,480.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R014,BA,British Airways,Passenger,LHR,UK,EU,AMS,Netherlands,EU,international,A320neo,3650,370.0,0.025,0.02,0.1,0.15,0.3,0.4,0.5
R015,LH,Lufthansa,Passenger,MUC,Germany,EU,BER,Germany,EU,domestic,A320neo,5475,490.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R016,AF,Air France,Passenger,CDG,France,EU,NCE,France,EU,domestic,A320neo,7300,690.0,0.025,0.02,0.06,0.15,0.3,0.4,0.5
R017,UA,United Airlines,Passenger,EWR,USA,US,LHR,UK,EU,international,B777-300ER,1460,5570.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
R018,UA,United Airlines,Passenger,ORD,USA,US,NRT,Japan,APAC,international,B787-9,730,10130.0,0.02,0.005,0.03,0.1,0.2,0.3,0.4
