year,origin_region,destination_region,volume_mt,transport_cost_usd_per_mt,is_cross_region
2025,EU,APAC,0.0010002,65.0,True
2025,EU,EU,0.5,0.0,False
2025,LATAM,APAC,0.00100025,70.0,True
2025,LATAM,LATAM,0.019965,0.0,False
2025,MENA,APAC,0.0009997,45.0,True
2025,MENA,MENA,0.023958,0.0,False
2025,ROW,APAC,0.00099995,40.0,True
2025,ROW,ROW,0.015972,0.0,False
2025,US,APAC,0.0758599,55.0,True
2025,US,US,0.11979,0.0,False
2026,APAC,APAC,0.1203168,0.0,False
2026,EU,APAC,0.00100005,65.0,True
2026,EU,EU,0.6725,0.0,False
2026,LATAM,APAC,0.0009999,70.0,True
2026,LATAM,LATAM,0.0301815,0.0,False
2026,MENA,APAC,0.0010003,45.0,True
2026,MENA,MENA,0.0365085,0.0,False
2026,ROW,APAC,0.00099995,40.0,True
2026,ROW,ROW,0.02406825,0.0,False
2026,US,US,0.17925075,0.0,False
2027,APAC,APAC,0.19717069,0.0,False
2027,EU,EU,0.9044,0.0,False
2027,LATAM,LATAM,0.04667256,0.0,False
2027,MENA,APAC,0.00100025,45.0,True
2027,MENA,MENA,0.0569349,0.0,False
2027,ROW,ROW,0.03706626,0.0,False
2027,US,US,0.2745996,0.0,False
2028,APAC,APAC,0.32169949,0.0,False
2028,EU,EU,1.2163,0.0,False
2028,LATAM,LATAM,0.07378688,0.0,False
2028,MENA,APAC,0.00100003,45.0,True
2028,MENA,MENA,0.09073792,0.0,False
2028,ROW,ROW,0.05835776,0.0,False
2028,US,US,0.42986368,0.0,False
2029,APAC,APAC,0.5312878,0.0,False
2029,EU,EU,1.6358,0.0,False
2029,LATAM,LATAM,0.11812736,0.0,False
2029,MENA,APAC,0.0009998,45.0,True
2029,MENA,MENA,0.1464684,0.0,False
2029,ROW,ROW,0.09312056,0.0,False
2029,US,US,0.68161392,0.0,False
2030,APAC,APAC,0.8775,0.0,False
2030,EU,EU,2.2,0.0,False
2030,LATAM,LATAM,0.189,0.0,False
2030,MENA,MENA,0.23625,0.0,False
2030,ROW,ROW,0.1485,0.0,False
2030,US,US,1.08,0.0,False
2031,APAC,APAC,1.30900462,0.0,False
2031,EU,EU,2.88179958,0.0,False
2031,LATAM,LATAM,0.2697695,0.0,False
2031,MENA,EU,0.00100042,35.0,True
2031,MENA,MENA,0.33790988,0.0,False
2031,ROW,ROW,0.21491008,0.0,False
2031,US,US,1.59809188,0.0,False
2032,APAC,APAC,1.91017296,0.0,False
2032,EU,EU,3.77560015,0.0,False
2032,LATAM,LATAM,0.37662128,0.0,False
2032,MENA,EU,0.00099977,35.0,True
2032,MENA,MENA,0.47275708,0.0,False
2032,ROW,ROW,0.30425124,0.0,False
2032,US,EU,0.00100008,45.0,True
2032,US,US,2.31311812,0.0,False
2033,APAC,APAC,2.72246832,0.0,False
2033,EU,EU,4.94720039,0.0,False
2033,LATAM,EU,0.00100018,50.0,True
2033,LATAM,LATAM,0.51367992,0.0,False
2033,MENA,EU,0.00099996,35.0,True
2033,MENA,MENA,0.64615434,0.0,False
2033,ROW,ROW,0.42069222,0.0,False
2033,US,EU,0.00099947,45.0,True
2033,US,US,3.27017028,0.0,False
2034,APAC,APAC,3.80226825,0.0,False
2034,EU,EU,6.48359955,0.0,False
2034,LATAM,EU,0.00100015,50.0,True
2034,LATAM,LATAM,0.68643225,0.0,False
2034,MENA,EU,0.00100015,35.0,True
2034,MENA,MENA,0.86521275,0.0,False
2034,ROW,ROW,0.570105,0.0,False
2034,US,EU,0.00100015,45.0,True
2034,US,US,4.530213,0.0,False
2035,APAC,APAC,5.22885,0.0,False
2035,EU,EU,8.49599995,0.0,False
2035,LATAM,EU,0.0010004,50.0,True
2035,LATAM,LATAM,0.903165,0.0,False
2035,MENA,EU,0.00099985,35.0,True
2035,MENA,MENA,1.14084,0.0,False
2035,ROW,EU,0.00100005,55.0,True
2035,ROW,ROW,0.76056,0.0,False
2035,US,EU,0.00099975,45.0,True
2035,US,US,6.17955,0.0,False
2036,APAC,APAC,6.12321176,0.0,False
2036,EU,EU,9.64229999,0.0,False
2036,LATAM,EU,0.0010004,50.0,True
2036,LATAM,LATAM,1.1082802,0.0,False
2036,MENA,EU,0.00099949,35.0,True
2036,MENA,MENA,1.39690796,0.0,False
2036,ROW,EU,0.00100037,55.0,True
2036,ROW,ROW,0.93130428,0.0,False
2036,US,EU,0.00099975,45.0,True
2036,US,US,7.2365318,0.0,False
2037,APAC,APAC,7.11868557,0.0,False
2037,EU,EU,10.9430999,0.0,False
2037,LATAM,EU,0.00100028,50.0,True
2037,LATAM,LATAM,1.35001267,0.0,False
2037,MENA,EU,0.00099977,35.0,True
2037,MENA,MENA,1.69813408,0.0,False
2037,ROW,EU,0.00099977,55.0,True
2037,ROW,ROW,1.13215478,0.0,False
2037,US,EU,0.00100028,45.0,True
