year,region,pathway,total_capacity_mt_yr,new_capacity_mt_yr,expansion_triggered,solver_status,npv_cost_usd_m
2025,EU,HEFA,0.3202,0.1202,True,optimal,0.017
2025,EU,ATJ,0.4372,0.4372,True,optimal,0.017
2025,EU,Co-processing,0.375,0.375,True,optimal,0.017
2025,US,HEFA,0.25,0.0,True,optimal,0.017
2025,US,Co-processing,0.0621,0.0621,True,optimal,0.017
2025,APAC,HEFA,0.12,0.0,True,optimal,0.017
2025,APAC,Co-processing,0.1888,0.1888,True,optimal,0.017
2025,LATAM,Co-processing,0.0915,0.0915,True,optimal,0.017
2025,ROW,Co-processing,0.0822,0.0822,True,optimal,0.017
2025,MENA,HEFA,0.0529,0.0529,True,optimal,0.017
2025,MENA,ATJ,0.12,0.12,True,optimal,0.017
2025,MENA,FT-MSW,0.0165,0.0165,True,optimal,0.017
2025,MENA,Co-processing,0.125,0.125,True,optimal,0.017
2026,EU,HEFA,0.3202,0.0,True,optimal,0.008
2026,EU,ATJ,0.4372,0.0,True,optimal,0.008
2026,EU,Co-processing,0.608,0.233,True,optimal,0.008
2026,US,HEFA,0.25,0.0,True,optimal,0.008
2026,US,Co-processing,0.4783,0.4162,True,optimal,0.008
2026,APAC,HEFA,0.12,0.0,True,optimal,0.008
2026,APAC,Co-processing,0.3567,0.1679,True,optimal,0.008
2026,LATAM,Co-processing,0.1401,0.0487,True,optimal,0.008
2026,ROW,Co-processing,0.1266,0.0444,True,optimal,0.008
2026,MENA,HEFA,0.0956,0.0427,True,optimal,0.008
2026,MENA,ATJ,0.12,0.0,True,optimal,0.008
2026,MENA,FT-MSW,0.0165,0.0,True,optimal,0.008
2026,MENA,Co-processing,0.2538,0.1288,True,optimal,0.008
2027,EU,HEFA,0.4477,0.1275,True,optimal,0.076
2027,EU,ATJ,1.286,0.8487,True,optimal,0.076
2027,EU,Co-processing,1.0059,0.3979,True,optimal,0.076
2027,EU,FT-MSW,0.2144,0.2144,True,optimal,0.076
2027,US,HEFA,0.3927,0.1427,True,optimal,0.076
2027,US,Co-processing,1.0088,0.5305,True,optimal,0.076
2027,US,ATJ,0.7401,0.7401,True,optimal,0.076
2027,APAC,HEFA,0.2781,0.1581,True,optimal,0.076
2027,APAC,Co-processing,1.0197,0.663,True,optimal,0.076
2027,APAC,ATJ,0.3369,0.3369,True,optimal,0.076
2027,LATAM,Co-processing,0.4666,0.3265,True,optimal,0.076
2027,LATAM,ATJ,0.0098,0.0098,True,optimal,0.076
2027,ROW,Co-processing,0.4325,0.3059,True,optimal,0.076
2027,MENA,HEFA,0.1516,0.0561,True,optimal,0.076
2027,MENA,ATJ,0.2473,0.1273,True,optimal,0.076
2027,MENA,FT-MSW,0.0695,0.053,True,optimal,0.076
2027,MENA,Co-processing,0.3864,0.1326,True,optimal,0.076
2027,MENA,PtL,0.8128,0.8128,True,optimal,0.076
2028,EU,HEFA,0.5791,0.1314,True,optimal,0.059
2028,EU,ATJ,1.8625,0.5765,True,optimal,0.059
2028,EU,Co-processing,1.4156,0.4098,True,optimal,0.059
2028,EU,FT-MSW,0.2144,0.0,True,optimal,0.059
2028,US,HEFA,0.5399,0.1471,True,optimal,0.059
2028,US,Co-processing,1.5552,0.5464,True,optimal,0.059
2028,US,ATJ,0.8516,0.1115,True,optimal,0.059
2028,APAC,HEFA,0.4409,0.1628,True,optimal,0.059
2028,APAC,Co-processing,1.7027,0.683,True,optimal,0.059
2028,APAC,ATJ,1.6525,1.3155,True,optimal,0.059
2028,LATAM,Co-processing,0.6252,0.1586,True,optimal,0.059
2028,LATAM,ATJ,0.0098,0.0,True,optimal,0.059
2028,ROW,Co-processing,0.5797,0.1472,True,optimal,0.059
2028,MENA,HEFA,0.2094,0.0578,True,optimal,0.059
2028,MENA,ATJ,0.3784,0.1311,True,optimal,0.059
2028,MENA,FT-MSW,0.1242,0.0546,True,optimal,0.059
2028,MENA,Co-processing,0.523,0.1366,True,optimal,0.059
2028,MENA,PtL,1.0012,0.1883,True,optimal,0.059
2029,EU,HEFA,0.7143,0.1352,True,optimal,0.032
2029,EU,ATJ,2.107,0.2445,True,optimal,0.032
2029,EU,Co-processing,1.8377,0.4221,True,optimal,0.032
2029,EU,FT-MSW,0.2144,0.0,True,optimal,0.032
2029,US,HEFA,0.6914,0.1515,True,optimal,0.032
2029,US,Co-processing,2.1179,0.5627,True,optimal,0.032
2029,US,ATJ,0.9743,0.1227,True,optimal,0.032
2029,APAC,HEFA,0.4409,0.0,True,optimal,0.032
2029,APAC,Co-processing,2.3112,0.6085,True,optimal,0.032
2029,APAC,ATJ,1.6525,0.0,True,optimal,0.032
2029,LATAM,Co-processing,0.7916,0.1665,True,optimal,0.032
2029,LATAM,ATJ,0.0098,0.0,True,optimal,0.032
2029,ROW,Co-processing,0.7358,0.1561,True,optimal,0.032
2029,MENA,HEFA,0.2689,0.0595,True,optimal,0.032
2029,MENA,ATJ,0.5135,0.1351,True,optimal,0.032
2029,MENA,FT-MSW,0.1804,0.0563,True,optimal,0.032
2029,MENA,Co-processing,0.6638,0.1407,True,optimal,0.032
2029,MENA,PtL,1.2124,0.2112,True,optimal,0.032
2030,EU,HEFA,0.8536,0.1393,True,optimal,0.045
2030,EU,ATJ,3.0344,0.9274,True,optimal,0.045
2030,EU,Co-processing,2.2725,0.4348,True,optimal,0.045
2030,EU,FT-MSW,0.2835,0.0692,True,optimal,0.045
2030,US,HEFA,0.8475,0.156,True,optimal,0.045
2030,US,Co-processing,2.6976,0.5796,True,optimal,0.045
2030,US,ATJ,1.109,0.1347,True,optimal,0.045
2030,APAC,HEFA,0.4409,0.0,True,optimal,0.045
2030,APAC,Co-processing,2.954,0.6428,True,optimal,0.045
2030,APAC,ATJ,1.6525,0.0,True,optimal,0.045
2030,LATAM,Co-processing,0.9663,0.1747,True,optimal,0.045
2030,LATAM,ATJ,0.0098,0.0,True,optimal,0.045
2030,ROW,Co-processing,0.9013,0.1655,True,optimal,0.045
2030,MENA,HEFA,0.3302,0.0613,True,optimal,0.045
2030,MENA,ATJ,0.6526,0.1391,True,optimal,0.045
2030,MENA,FT-MSW,0.2384,0.058,True,optimal,0.045
2030,MENA,Co-processing,0.8086,0.1449,True,optimal,0.045
2030,MENA,PtL,1.4479,0.2355,True,optimal,0.045
2031,EU,HEFA,0.9971,0.1435,True,optimal,0.036
2031,EU,ATJ,3.3375,0.3031,True,optimal,0.036
2031,EU,Co-processing,2.7202,0.4477,True,optimal,0.036
2031,EU,FT-MSW,0.2835,0.0,True,optimal,0.036
2031,US,HEFA,1.0082,0.1607,True,optimal,0.036
2031,US,Co-processing,3.2946,0.597,True,optimal,0.036
2031,US,ATJ,1.2563,0.1473,True,optimal,0.036
2031,APAC,HEFA,0.4409,0.0,True,optimal,0.036
2031,APAC,Co-processing,3.6327,0.6787,True,optimal,0.036
2031,APAC,ATJ,1.6525,0.0,True,optimal,0.036
2031,LATAM,Co-processing,1.1495,0.1832,True,optimal,0.036
2031,LATAM,ATJ,0.0098,0.0,True,optimal,0.036
2031,ROW,Co-processing,1.0766,0.1753,True,optimal,0.036
2031,MENA,HEFA,0.3934,0.0631,True,optimal,0.036
2031,MENA,ATJ,0.7959,0.1433,True,optimal,0.036
2031,MENA,FT-MSW,0.2981,0.0597,True,optimal,0.036
2031,MENA,Co-processing,0.9579,0.1492,True,optimal,0.036
2031,MENA,PtL,1.709,0.2611,True,optimal,0.036
2032,EU,HEFA,1.1449,0.1478,True,optimal,0.03
2032,EU,ATJ,3.5155,0.1781,True,optimal,0.03
2032,EU,Co-processing,3.1815,0.4612,True,optimal,0.03
2032,EU,FT-MSW,0.2835,0.0,True,optimal,0.03
2032,US,HEFA,1.1737,0.1656,True,optimal,0.03
2032,US,Co-processing,3.9094,0.6149,True,optimal,0.03
2032,US,ATJ,1.3038,0.0475,True,optimal,0.03
2032,APAC,HEFA,0.4409,0.0,True,optimal,0.03
2032,APAC,Co-processing,4.2349,0.6022,True,optimal,0.03
2032,APAC,ATJ,1.6525,0.0,True,optimal,0.03
2032,LATAM,Co-processing,1.3092,0.1597,True,optimal,0.03
2032,LATAM,ATJ,0.0098,0.0,True,optimal,0.03
2032,ROW,Co-processing,1.2319,0.1553,True,optimal,0.03
2032,MENA,HEFA,0.4584,0.065,True,optimal,0.03
2032,MENA,ATJ,0.9435,0.1476,True,optimal,0.03
2032,MENA,FT-MSW,0.3596,0.0615,True,optimal,0.03
2032,MENA,Co-processing,1.1116,0.1537,True,optimal,0.03
2032,MENA,PtL,1.8802,0.1712,True,optimal,0.03
2033,EU,HEFA,1.2972,0.1523,True,optimal,0.038
2033,EU,ATJ,4.0837,0.5682,True,optimal,0.038
2033,EU,Co-processing,3.6565,0.475,True,optimal,0.038
2033,EU,FT-MSW,0.2835,0.0,True,optimal,0.038
2033,US,HEFA,1.3443,0.1705,True,optimal,0.038
2033,US,Co-processing,4.5428,0.6334,True,optimal,0.038
2033,US,ATJ,1.359,0.0551,True,optimal,0.038
2033,APAC,HEFA,0.4409,0.0,True,optimal,0.038
2033,APAC,Co-processing,4.8693,0.6344,True,optimal,0.038
2033,APAC,ATJ,1.6525,0.0,True,optimal,0.038
2033,LATAM,Co-processing,1.4764,0.1672,True,optimal,0.038
