year,total_demand_mt,total_produced_mt,total_traded_mt,market_balanced,expansion_triggered,expansion_npv_usd_m
2025,1.8991849700000003,1.899185,1.613002,True,True,0.017
2026,2.81852169,2.818522,2.818522,True,True,0.008
2027,7.90481544,7.904815,7.202713,True,True,0.076
2028,12.11929111,12.119291,9.307133,True,True,0.059
2029,14.81617409,14.816174,11.315404,True,True,0.032
2030,18.26954417,18.269544,15.497802,True,True,0.045
2031,21.255642660000003,21.255643,17.897938,True,True,0.036
2032,23.91722134,23.917221,19.321378,True,True,0.03
2033,27.022470099999996,27.02247,22.177552,True,True,0.038
2034,29.953391439999997,29.953391,24.211082,True,True,0.034
2035,33.02702391,33.027024,26.360292,True,True,0.036
2036,36.883544289999996,36.883544,30.532382,True,True,0.049
2037,39.8959567,39.895957,32.630339,True,True,0.034
2038,43.688371620000005,43.688372,29.177821,True,True,0.047
2039,46.98975966,46.98976,30.863093,True,True,0.038
2040,50.44328946,50.443289,32.637975,True,True,0.04
2041,54.70443845,54.704438,36.453495,True,True,0.053
2042,58.484833460000004,58.484833,38.428503,True,True,0.044
2043,63.42019539,63.420195,43.453492,True,True,0.064
2044,67.55686734999999,67.556867,45.650147,True,True,0.049
2045,69.54927375999999,69.549274,46.508125,True,True,0.019
