year,region,jet_fuel_price_usd_per_mt,corsia_credit_usd_per_tco2,case3_penalty_usd_per_mt,target_irr_pct,wtp_mode
2025,EU,750,30.0,2600.0,12,max
2025,US,700,30.0,1500.0,12,max
2025,APAC,720,30.0,1300.0,12,max
2025,MENA,680,30.0,1000.0,12,max
2025,LATAM,760,30.0,800,18,max
2025,ROW,800,30.0,800,18,max
2026,EU,756,36.4,2624.0,12,max
2026,US,706,36.4,1528.0,12,max
2026,APAC,726,36.4,1320.0,12,max
2026,MENA,685,36.4,1012.0,12,max
2026,LATAM,766,36.4,810,18,max
2026,ROW,806,36.4,810,18,max
2027,EU,762,42.8,2648.0,12,max
2027,US,711,42.8,1556.0,12,max
2027,APAC,732,42.8,1340.0,12,max
2027,MENA,691,42.8,1024.0,12,max
2027,LATAM,772,42.8,820,18,max
2027,ROW,813,42.8,820,18,max
2028,EU,768,49.2,2672.0,12,max
2028,US,717,49.2,1584.0,12,max
2028,APAC,737,49.2,1360.0,12,max
2028,MENA,696,49.2,1036.0,12,max
2028,LATAM,778,49.2,830,18,max
2028,ROW,819,49.2,830,18,max
2029,EU,774,55.6,2696.0,12,max
2029,US,723,55.6,1612.0,12,max
2029,APAC,743,55.6,1380.0,12,max
2029,MENA,702,55.6,1048.0,12,max
2029,LATAM,785,55.6,840,18,max
2029,ROW,826,55.6,840,18,max
2030,EU,780,62.0,2720.0,12,max
2030,US,728,62.0,1640.0,12,max
2030,APAC,749,62.0,1400.0,12,max
2030,MENA,708,62.0,1060.0,12,max
2030,LATAM,791,62.0,850,18,max
2030,ROW,833,62.0,850,18,max
2031,EU,787,68.4,2744.0,12,max
2031,US,734,68.4,1668.0,12,max
2031,APAC,755,68.4,1420.0,12,max
2031,MENA,713,68.4,1072.0,12,max
2031,LATAM,797,68.4,860,18,max
2031,ROW,839,68.4,860,18,max
2032,EU,793,74.8,2768.0,12,max
2032,US,740,74.8,1696.0,12,max
2032,APAC,761,74.8,1440.0,12,max
2032,MENA,719,74.8,1084.0,12,max
2032,LATAM,804,74.8,870,18,max
2032,ROW,846,74.8,870,18,max
2033,EU,799,81.2,2792.0,12,max
2033,US,746,81.2,1724.0,12,max
2033,APAC,767,81.2,1460.0,12,max
2033,MENA,725,81.2,1096.0,12,max
2033,LATAM,810,81.2,880,18,max
2033,ROW,853,81.2,880,18,max
2034,EU,806,87.6,2816.0,12,max
2034,US,752,87.6,1752.0,12,max
2034,APAC,774,87.6,1480.0,12,max
2034,MENA,731,87.6,1108.0,12,max
2034,LATAM,817,87.6,890,18,max
2034,ROW,859,87.6,890,18,max
2035,EU,812,94.0,2840.0,12,max
2035,US,758,94.0,1780.0,12,max
2035,APAC,780,94.0,1500.0,12,max
2035,MENA,736,94.0,1120.0,12,max
2035,LATAM,823,94.0,900,18,max
2035,ROW,866,94.0,900,18,max
2036,EU,819,100.4,2864.0,12,max
2036,US,764,100.4,1808.0,12,max
2036,APAC,786,100.4,1520.0,12,max
2036,MENA,742,100.4,1132.0,12,max
2036,LATAM,830,100.4,910,18,max
2036,ROW,873,100.4,910,18,max
2037,EU,825,106.8,2888.0,12,max
2037,US,770,106.8,1836.0,12,max
