year,region,jet_fuel_price_usd_per_mt,corsia_credit_usd_per_tco2,case3_penalty_usd_per_mt,target_irr_pct,wtp_mode
2025,EU,750,30.0,2800.0,12,max
2025,US,700,30.0,1700.0,12,max
2025,APAC,720,30.0,1500.0,12,max
2025,MENA,680,30.0,1100.0,12,max
2025,LATAM,760,30.0,800,18,max
2025,ROW,800,30.0,800,18,max
2026,EU,756,38.8,2832.0,12,max
2026,US,706,38.8,1728.0,12,max
2026,APAC,726,38.8,1520.0,12,max
2026,MENA,685,38.8,1112.0,12,max
2026,LATAM,766,38.8,810,18,max
2026,ROW,806,38.8,810,18,max
2027,EU,762,47.6,2864.0,12,max
2027,US,711,47.6,1756.0,12,max
2027,APAC,732,47.6,1540.0,12,max
2027,MENA,691,47.6,1124.0,12,max
2027,LATAM,772,47.6,820,18,max
2027,ROW,813,47.6,820,18,max
2028,EU,768,56.4,2896.0,12,max
2028,US,717,56.4,1784.0,12,max
2028,APAC,737,56.4,1560.0,12,max
2028,MENA,696,56.4,1136.0,12,max
2028,LATAM,778,56.4,830,18,max
2028,ROW,819,56.4,830,18,max
2029,EU,774,65.2,2928.0,12,max
2029,US,723,65.2,1812.0,12,max
2029,APAC,743,65.2,1580.0,12,max
2029,MENA,702,65.2,1148.0,12,max
2029,LATAM,785,65.2,840,18,max
2029,ROW,826,65.2,840,18,max
2030,EU,780,74.0,2960.0,12,max
2030,US,728,74.0,1840.0,12,max
2030,APAC,749,74.0,1600.0,12,max
2030,MENA,708,74.0,1160.0,12,max
2030,LATAM,791,74.0,850,18,max
2030,ROW,833,74.0,850,18,max
2031,EU,787,82.8,2992.0,12,max
2031,US,734,82.8,1868.0,12,max
2031,APAC,755,82.8,1620.0,12,max
2031,MENA,713,82.8,1172.0,12,max
2031,LATAM,797,82.8,860,18,max
2031,ROW,839,82.8,860,18,max
2032,EU,793,91.6,3024.0,12,max
2032,US,740,91.6,1896.0,12,max
2032,APAC,761,91.6,1640.0,12,max
2032,MENA,719,91.6,1184.0,12,max
2032,LATAM,804,91.6,870,18,max
2032,ROW,846,91.6,870,18,max
2033,EU,799,100.4,3056.0,12,max
2033,US,746,100.4,1924.0,12,max
2033,APAC,767,100.4,1660.0,12,max
2033,MENA,725,100.4,1196.0,12,max
2033,LATAM,810,100.4,880,18,max
2033,ROW,853,100.4,880,18,max
2034,EU,806,109.2,3088.0,12,max
2034,US,752,109.2,1952.0,12,max
2034,APAC,774,109.2,1680.0,12,max
2034,MENA,731,109.2,1208.0,12,max
2034,LATAM,817,109.2,890,18,max
2034,ROW,859,109.2,890,18,max
2035,EU,812,118.0,3120.0,12,max
2035,US,758,118.0,1980.0,12,max
2035,APAC,780,118.0,1700.0,12,max
2035,MENA,736,118.0,1220.0,12,max
2035,LATAM,823,118.0,900,18,max
2035,ROW,866,118.0,900,18,max
2036,EU,819,126.8,3152.0,12,max
2036,US,764,126.8,2008.0,12,max
2036,APAC,786,126.8,1720.0,12,max
2036,MENA,742,126.8,1232.0,12,max
2036,LATAM,830,126.8,910,18,max
2036,ROW,873,126.8,910,18,max
2037,EU,825,135.6,3184.0,12,max
2037,US,770,135.6,2036.0,12,max
2037,APAC,792,135.6,1740.0,12,max
2037,MENA,748,135.6,1244.0,12,max
2037,LATAM,836,135.6,920,18,max
2037,ROW,880,135.6,920,18,max
2038,EU,832,144.4,3216.0,12,max
2038,US,776,144.4,2064.0,12,max
2038,APAC,799,144.4,1760.0,12,max
2038,MENA,754,144.4,1256.0,12,max
2038,LATAM,843,144.4,930,18,max
2038,ROW,887,144.4,930,18,max
2039,EU,839,153.2,3248.0,12,max
2039,US,783,153.2,2092.0,12,max
2039,APAC,805,153.2,1780.0,12,max
2039,MENA,760,153.2,1268.0,12,max
2039,LATAM,850,153.2,940,18,max
2039,ROW,894,153.2,940,18,max
2040,EU,845,162.0,3280.0,12,max
2040,US,789,162.0,2120.0,12,max
2040,APAC,811,162.0,1800.0,12,max
2040,MENA,766,162.0,1280.0,12,max
2040,LATAM,856,162.0,950,18,max
2040,ROW,902,162.0,950,18,max
2041,EU,852,170.8,3312.0,12,max
2041,US,795,170.8,2148.0,12,max
2041,APAC,818,170.8,1820.0,12,max
2041,MENA,772,170.8,1292.0,12,max
2041,LATAM,863,170.8,960,18,max
2041,ROW,909,170.8,960,18,max
2042,EU,859,179.6,3344.0,12,max
2042,US,802,179.6,2176.0,12,max
2042,APAC,824,179.6,1840.0,12,max
2042,MENA,779,179.6,1304.0,12,max
2042,LATAM,870,179.6,970,18,max
2042,ROW,916,179.6,970,18,max
2043,EU,866,188.4,3376.0,12,max
2043,US,808,188.4,2204.0,12,max
2043,APAC,831,188.4,1860.0,12,max
2043,MENA,785,188.4,1316.0,12,max
2043,LATAM,877,188.4,980,18,max
2043,ROW,923,188.4,980,18,max
2044,EU,873,197.2,3408.0,12,max
2044,US,814,197.2,2232.0,12,max
2044,APAC,838,197.2,1880.0,12,max
2044,MENA,791,197.2,1328.0,12,max
2044,LATAM,884,197.2,990,18,max
2044,ROW,931,197.2,990,18,max
2045,EU,880,206.0,3440.0,12,max
2045,US,821,206.0,2260.0,12,max
2045,APAC,844,206.0,1900.0,12,max
2045,MENA,797,206.0,1340.0,12,max
2045,LATAM,891,206.0,1000,18,max
2045,ROW,938,206.0,1000,18,max
2046,EU,887,214.8,3472.0,12,max
2046,US,828,214.8,2288.0,12,max
2046,APAC,850,214.8,1920.0,12,max
2046,MENA,803,214.8,1352.0,12,max
2046,LATAM,898,214.8,1010,18,max
2046,ROW,945,214.8,1010,18,max
2047,EU,894,223.6,3504.0,12,max
2047,US,835,223.6,2316.0,12,max
2047,APAC,856,223.6,1940.0,12,max
2047,MENA,809,223.6,1364.0,12,max
2047,LATAM,905,223.6,1020,18,max
2047,ROW,952,223.6,1020,18,max
2048,EU,901,232.4,3536.0,12,max
2048,US,842,232.4,2344.0,12,max
2048,APAC,862,232.4,1960.0,12,max
2048,MENA,815,232.4,1376.0,12,max
2048,LATAM,912,232.4,1030,18,max
2048,ROW,959,232.4,1030,18,max
2049,EU,908,241.2,3568.0,12,max
2049,US,849,241.2,2372.0,12,max
2049,APAC,868,241.2,1980.0,12,max
2049,MENA,821,241.2,1388.0,12,max
2049,LATAM,919,241.2,1040,18,max
2049,ROW,966,241.2,1040,18,max
2050,EU,915,250.0,3600.0,12,max
2050,US,856,250.0,2400.0,12,max
2050,APAC,874,250.0,2000.0,12,max
2050,MENA,827,250.0,1400.0,12,max
2050,LATAM,926,250.0,1050,18,max
2050,ROW,973,250.0,1050,18,max
