year,region,jet_fuel_price_usd_per_mt,corsia_credit_usd_per_tco2,case3_penalty_usd_per_mt,target_irr_pct,wtp_mode
2025,EU,750,30.0,3000.0,12,max
2025,US,700,30.0,1700.0,12,max
2025,APAC,720,30.0,1600.0,12,max
2025,MENA,680,30.0,1200.0,12,max
2025,LATAM,760,30.0,800,18,max
2025,ROW,800,30.0,800,18,max
2026,EU,756,40.8,3040.0,12,max
2026,US,706,40.8,1732.0,12,max
2026,APAC,726,40.8,1624.0,12,max
2026,MENA,685,40.8,1216.0,12,max
2026,LATAM,766,40.8,810,18,max
2026,ROW,806,40.8,810,18,max
2027,EU,762,51.6,3080.0,12,max
2027,US,711,51.6,1764.0,12,max
2027,APAC,732,51.6,1648.0,12,max
2027,MENA,691,51.6,1232.0,12,max
2027,LATAM,772,51.6,820,18,max
2027,ROW,813,51.6,820,18,max
2028,EU,768,62.4,3120.0,12,max
2028,US,717,62.4,1796.0,12,max
2028,APAC,737,62.4,1672.0,12,max
2028,MENA,696,62.4,1248.0,12,max
2028,LATAM,778,62.4,830,18,max
2028,ROW,819,62.4,830,18,max
2029,EU,774,73.2,3160.0,12,max
2029,US,723,73.2,1828.0,12,max
2029,APAC,743,73.2,1696.0,12,max
2029,MENA,702,73.2,1264.0,12,max
2029,LATAM,785,73.2,840,18,max
2029,ROW,826,73.2,840,18,max
2030,EU,780,84.0,3200.0,12,max
2030,US,728,84.0,1860.0,12,max
2030,APAC,749,84.0,1720.0,12,max
2030,MENA,708,84.0,1280.0,12,max
2030,LATAM,791,84.0,850,18,max
2030,ROW,833,84.0,850,18,max
2031,EU,787,94.8,3240.0,12,max
2031,US,734,94.8,1892.0,12,max
2031,APAC,755,94.8,1744.0,12,max
2031,MENA,713,94.8,1296.0,12,max
2031,LATAM,797,94.8,860,18,max
2031,ROW,839,94.8,860,18,max
2032,EU,793,105.6,3280.0,12,max
2032,US,740,105.6,1924.0,12,max
2032,APAC,761,105.6,1768.0,12,max
2032,MENA,719,105.6,1312.0,12,max
2032,LATAM,804,105.6,870,18,max
2032,ROW,846,105.6,870,18,max
2033,EU,799,116.4,3320.0,12,max
2033,US,746,116.4,1956.0,12,max
2033,APAC,767,116.4,1792.0,12,max
2033,MENA,725,116.4,1328.0,12,max
2033,LATAM,810,116.4,880,18,max
2033,ROW,853,116.4,880,18,max
2034,EU,806,127.2,3360.0,12,max
2034,US,752,127.2,1988.0,12,max
2034,APAC,774,127.2,1816.0,12,max
2034,MENA,731,127.2,1344.0,12,max
2034,LATAM,817,127.2,890,18,max
2034,ROW,859,127.2,890,18,max
2035,EU,812,138.0,3400.0,12,max
2035,US,758,138.0,2020.0,12,max
2035,APAC,780,138.0,1840.0,12,max
2035,MENA,736,138.0,1360.0,12,max
2035,LATAM,823,138.0,900,18,max
2035,ROW,866,138.0,900,18,max
2036,EU,819,148.8,3440.0,12,max
2036,US,764,148.8,2052.0,12,max
2036,APAC,786,148.8,1864.0,12,max
2036,MENA,742,148.8,1376.0,12,max
2036,LATAM,830,148.8,910,18,max
2036,ROW,873,148.8,910,18,max
2037,EU,825,159.6,3480.0,12,max
2037,US,770,159.6,2084.0,12,max
2037,APAC,792,159.6,1888.0,12,max
2037,MENA,748,159.6,1392.0,12,max
2037,LATAM,836,159.6,920,18,max
2037,ROW,880,159.6,920,18,max
2038,EU,832,170.4,3520.0,12,max
2038,US,776,170.4,2116.0,12,max
2038,APAC,799,170.4,1912.0,12,max
2038,MENA,754,170.4,1408.0,12,max
2038,LATAM,843,170.4,930,18,max
2038,ROW,887,170.4,930,18,max
2039,EU,839,181.2,3560.0,12,max
2039,US,783,181.2,2148.0,12,max
2039,APAC,805,181.2,1936.0,12,max
2039,MENA,760,181.2,1424.0,12,max
2039,LATAM,850,181.2,940,18,max
2039,ROW,894,181.2,940,18,max
2040,EU,845,192.0,3600.0,12,max
2040,US,789,192.0,2180.0,12,max
2040,APAC,811,192.0,1960.0,12,max
2040,MENA,766,192.0,1440.0,12,max
2040,LATAM,856,192.0,950,18,max
2040,ROW,902,192.0,950,18,max
2041,EU,852,202.8,3640.0,12,max
2041,US,795,202.8,2212.0,12,max
2041,APAC,818,202.8,1984.0,12,max
2041,MENA,772,202.8,1456.0,12,max
2041,LATAM,863,202.8,960,18,max
2041,ROW,909,202.8,960,18,max
2042,EU,859,213.6,3680.0,12,max
2042,US,802,213.6,2244.0,12,max
2042,APAC,824,213.6,2008.0,12,max
2042,MENA,779,213.6,1472.0,12,max
2042,LATAM,870,213.6,970,18,max
2042,ROW,916,213.6,970,18,max
2043,EU,866,224.4,3720.0,12,max
2043,US,808,224.4,2276.0,12,max
2043,APAC,831,224.4,2032.0,12,max
2043,MENA,785,224.4,1488.0,12,max
2043,LATAM,877,224.4,980,18,max
2043,ROW,923,224.4,980,18,max
2044,EU,873,235.2,3760.0,12,max
2044,US,814,235.2,2308.0,12,max
2044,APAC,838,235.2,2056.0,12,max
2044,MENA,791,235.2,1504.0,12,max
2044,LATAM,884,235.2,990,18,max
2044,ROW,931,235.2,990,18,max
2045,EU,880,246.0,3800.0,12,max
2045,US,821,246.0,2340.0,12,max
2045,APAC,844,246.0,2080.0,12,max
2045,MENA,797,246.0,1520.0,12,max
2045,LATAM,891,246.0,1000,18,max
2045,ROW,938,246.0,1000,18,max
2046,EU,887,256.8,3840.0,12,max
2046,US,828,256.8,2372.0,12,max
2046,APAC,850,256.8,2104.0,12,max
2046,MENA,803,256.8,1536.0,12,max
2046,LATAM,898,256.8,1010,18,max
2046,ROW,945,256.8,1010,18,max
2047,EU,894,267.6,3880.0,12,max
2047,US,835,267.6,2404.0,12,max
2047,APAC,856,267.6,2128.0,12,max
2047,MENA,809,267.6,1552.0,12,max
2047,LATAM,905,267.6,1020,18,max
2047,ROW,952,267.6,1020,18,max
2048,EU,901,278.4,3920.0,12,max
2048,US,842,278.4,2436.0,12,max
2048,APAC,862,278.4,2152.0,12,max
2048,MENA,815,278.4,1568.0,12,max
2048,LATAM,912,278.4,1030,18,max
2048,ROW,959,278.4,1030,18,max
2049,EU,908,289.2,3960.0,12,max
2049,US,849,289.2,2468.0,12,max
2049,APAC,868,289.2,2176.0,12,max
2049,MENA,821,289.2,1584.0,12,max
2049,LATAM,919,289.2,1040,18,max
2049,ROW,966,289.2,1040,18,max
2050,EU,915,300.0,4000.0,12,max
2050,US,856,300.0,2500.0,12,max
2050,APAC,874,300.0,2200.0,12,max
2050,MENA,827,300.0,1600.0,12,max
2050,LATAM,926,300.0,1050,18,max
2050,ROW,973,300.0,1050,18,max
