route_id,airline_id,operator_name,segment,origin_airport,origin_country,origin_region,dest_airport,dest_country,dest_region,flight_type,aircraft_type,annual_flights_2025,distance_km,annual_growth_rate,saf_pct_2025,saf_pct_2030,saf_pct_2035,saf_pct_2040,saf_pct_2045,saf_pct_2050
R001,LH,Lufthansa,Passenger,FRA,Germany,EU,JFK,United States,US,international,A350-900,3167,6200.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R002,LH,Lufthansa,Passenger,FRA,Germany,EU,PEK,China,APAC,international,A350-900,1584,9200.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R003,LH,Lufthansa,Passenger,FRA,Germany,EU,DXB,UAE,MENA,international,B787-9,3167,5100.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R004,LH,Lufthansa,Passenger,FRA,Germany,EU,SIN,Singapore,APAC,international,A350-900,1584,10600.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R005,AF,Air France,Passenger,CDG,France,EU,JFK,United States,US,international,B787-9,1709,5830.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R006,AF,Air France,Passenger,CDG,France,EU,NRT,Japan,APAC,international,B777-300ER,854,9730.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R007,BA,British Airways,Passenger,LHR,United Kingdom,EU,JFK,United States,US,international,B777-300ER,1501,5555.0,0.03,0.02,0.1,0.15,0.3,0.4,0.5
R008,BA,British Airways,Passenger,LHR,United Kingdom,EU,DXB,UAE,MENA,international,B777-300ER,1501,5490.0,0.03,0.02,0.1,0.15,0.3,0.4,0.5
R009,BA,British Airways,Passenger,LHR,United Kingdom,EU,HKG,Hong Kong,APAC,international,B777-300ER,750,9630.0,0.03,0.02,0.1,0.15,0.3,0.4,0.5
R010,BA,British Airways,Passenger,LHR,United Kingdom,EU,SYD,Australia,APAC,international,B787-9,375,16990.0,0.03,0.02,0.1,0.15,0.3,0.4,0.5
R011,KL,KLM,Passenger,AMS,Netherlands,EU,GRU,Brazil,LATAM,international,B787-9,476,9980.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R012,IB,Iberia,Passenger,MAD,Spain,EU,GRU,Brazil,LATAM,international,A350-900,750,10000.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R013,LH,Lufthansa,Passenger,FRA,Germany,EU,CDG,France,EU,international,A320neo,15835,480.0,0.03,0.02,0.06,0.15,0.3,0.4,0.5
R014,BA,British Airways,Passenger,LHR,United Kingdom,EU,AMS,Netherlands,EU,international,A320neo,3751,370.0,0.03,0.02,0.1,0.15,0.3,0.4,0.5
R015,UA,United Airlines,Passenger,EWR,United States,US,LHR,United Kingdom,EU,international,B777-300ER,5330,5570.0,0.025,0.005,0.03,0.1,0.2,0.3,0.4
R016,UA,United Airlines,Passenger,ORD,United States,US,NRT,Japan,APAC,international,B787-9,2665,10130.0,0.025,0.005,0.03,0.1,0.2,0.3,0.4
R017,AA,American Airlines,Passenger,DFW,United States,US,LHR,United Kingdom,EU,international,B777-300ER,2665,7640.0,0.025,0.005,0.03,0.1,0.2,0.3,0.4
R018,AA,American Airlines,Passenger,JFK,United States,US,CDG,France,EU,international,B787-9,2665,5850.0,0.025,0.005,0.03,0.1,0.2,0.3,0.4
R019,DL,Delta Air Lines,Passenger,ATL,United States,US,CDG,France,EU,international,A350-900,1333,7830.0,0.025,0.005,0.03,0.1,0.2,0.3,0.4
R020,DL,Delta Air Lines,Passenger,JFK,United States,US,NRT,Japan,APAC,international,B787-9,2665,10800.0,0.025,0.005,0.03,0.1,0.2,0.3,0.4
R021,UA,United Airlines,Passenger,EWR,United States,US,DXB,UAE,MENA,international,B777-300ER,1333,11560.0,0.025,0.005,0.03,0.1,0.2,0.3,0.4
R022,SQ,Singapore Airlines,Passenger,SIN,Singapore,APAC,LHR,United Kingdom,EU,international,A350-900,984,10840.0,0.05,0.0,0.03,0.1,0.2,0.3,0.4
R023,SQ,Singapore Airlines,Passenger,SIN,Singapore,APAC,JFK,United States,US,international,A350-900,492,15340.0,0.05,0.0,0.03,0.1,0.2,0.3,0.4
R024,NH,ANA,Passenger,NRT,Japan,APAC,LAX,United States,US,international,B777-300ER,1473,9570.0,0.05,0.0,0.1,0.15,0.3,0.4,0.5
R025,NH,ANA,Passenger,NRT,Japan,APAC,LHR,United Kingdom,EU,international,B787-9,982,9570.0,0.05,0.0,0.1,0.15,0.3,0.4,0.5
R026,CX,Cathay Pacific,Passenger,HKG,Hong Kong,APAC,LHR,United Kingdom,EU,international,A350-900,984,9660.0,0.05,0.0,0.025,0.1,0.2,0.3,0.5
R027,CA,Air China,Passenger,PEK,China,APAC,LHR,United Kingdom,EU,international,B777-300ER,182,8150.0,0.05,0.0,0.025,0.1,0.2,0.3,0.5
R028,QF,Qantas,Passenger,SYD,Australia,APAC,LHR,United Kingdom,EU,international,B787-9,183,16990.0,0.05,0.0,0.05,0.1,0.2,0.3,0.4
